Administrative Counties,age,Both sexes,female,male
Carlow County Council,-1,61968,31146,30822
Carlow County Council,1,1348,655,693
Carlow County Council,2,689,334,355
Carlow County Council,3,754,378,376
Carlow County Council,4,745,369,376
Carlow County Council,5,749,365,384
Carlow County Council,6,750,367,383
Carlow County Council,7,889,455,434
Carlow County Council,8,819,404,415
Carlow County Council,9,882,435,447
Carlow County Council,10,921,446,475
Carlow County Council,11,964,450,514
Carlow County Council,12,908,467,441
Carlow County Council,13,943,459,484
Carlow County Council,14,951,465,486
Carlow County Council,15,843,411,432
Carlow County Council,16,873,442,431
Carlow County Council,17,877,414,463
Carlow County Council,18,903,466,437
Carlow County Council,19,827,381,446
Carlow County Council,20,810,366,444
Carlow County Council,21,813,381,432
Carlow County Council,22,769,361,408
Carlow County Council,23,720,344,376
Carlow County Council,24,669,329,340
Carlow County Council,25,625,295,330
Carlow County Council,26,663,333,330
Carlow County Council,27,658,309,349
Carlow County Council,28,633,329,304
Carlow County Council,29,713,360,353
Carlow County Council,30,705,338,367
Carlow County Council,31,739,390,349
Carlow County Council,32,746,384,362
Carlow County Council,33,750,384,366
Carlow County Council,34,774,414,360
Carlow County Council,35,833,446,387
Carlow County Council,36,835,438,397
Carlow County Council,37,908,457,451
Carlow County Council,38,948,483,465
Carlow County Council,39,1006,553,453
Carlow County Council,40,981,487,494
Carlow County Council,41,1024,537,487
Carlow County Council,42,1045,517,528
Carlow County Council,43,950,463,487
Carlow County Council,44,907,459,448
Carlow County Council,45,945,498,447
Carlow County Council,46,949,486,463
Carlow County Council,47,871,418,453
Carlow County Council,48,841,430,411
Carlow County Council,49,946,493,453
Carlow County Council,50,897,454,443
Carlow County Council,51,815,436,379
Carlow County Council,52,823,403,420
Carlow County Council,53,785,385,400
Carlow County Council,54,805,382,423
Carlow County Council,55,804,392,412
Carlow County Council,56,795,418,377
Carlow County Council,57,740,385,355
Carlow County Council,58,724,368,356
Carlow County Council,59,743,360,383
Carlow County Council,60,673,317,356
Carlow County Council,61,684,350,334
Carlow County Council,62,713,380,333
Carlow County Council,63,642,316,326
Carlow County Council,64,610,323,287
Carlow County Council,65,628,306,322
Carlow County Council,66,569,286,283
Carlow County Council,67,562,291,271
Carlow County Council,68,565,274,291
Carlow County Council,69,587,311,276
Carlow County Council,70,522,245,277
Carlow County Council,71,497,259,238
Carlow County Council,72,526,278,248
Carlow County Council,73,461,228,233
Carlow County Council,74,475,229,246
Carlow County Council,75,404,197,207
Carlow County Council,76,412,211,201
Carlow County Council,77,372,188,184
Carlow County Council,78,312,156,156
Carlow County Council,79,339,171,168
Carlow County Council,80,279,163,116
Carlow County Council,81,265,148,117
Carlow County Council,82,240,131,109
Carlow County Council,83,203,102,101
Carlow County Council,84,198,111,87
