date,windspeed
2025-07-01,8.0
2025-07-02,11.0
2025-07-03,16.0
2025-07-04,21.0
2025-07-05,17.0
2025-07-06,15.0
2025-07-07,15.0
2025-07-08,10.0
2025-07-09,9.0
2025-07-10,11.0
2025-07-11,12.0
2025-07-12,15.0
2025-07-13,13.0
2025-07-14,15.0
2025-07-15,15.0
2025-07-16,11.0
2025-07-17,15.0
2025-07-18,11.0
2025-07-19,9.0
2025-07-20,13.0
2025-07-21,16.0
2025-07-22,10.0
2025-07-23,11.0
2025-07-24,10.0
2025-07-25,11.0
2025-07-26,15.0
2025-07-27,12.0
2025-07-28,9.0
2025-07-29,12.0
2025-07-30,11.0
2025-07-31,14.0
