iter	Passed	Remaining
0	9	4972
1	19	4789
2	29	4968
3	39	4851
4	48	4829
5	58	4799
6	68	4841
7	79	4868
8	88	4849
9	94	4653
10	103	4619
11	113	4602
12	122	4604
13	132	4584
14	137	4452
15	147	4452
16	156	4437
17	166	4464
18	176	4473
19	185	4460
20	194	4444
21	205	4461
22	215	4459
23	224	4454
24	233	4433
25	243	4436
26	252	4427
27	262	4424
28	272	4428
29	281	4417
30	292	4420
31	302	4424
32	312	4419
33	322	4423
34	331	4401
35	347	4474
36	357	4467
37	367	4466
38	377	4456
39	386	4442
40	394	4419
41	407	4441
42	417	4437
43	426	4421
44	437	4418
45	445	4401
46	456	4397
47	465	4384
48	475	4377
49	485	4370
50	498	4385
51	517	4457
52	531	4480
53	544	4494
54	554	4482
55	568	4507
56	583	4537
57	599	4571
58	658	4921
59	758	5563
60	820	5907
61	907	6409
62	924	6411
63	936	6376
64	952	6375
65	966	6353
66	977	6319
67	989	6286
68	1002	6262
69	1013	6226
70	1030	6226
71	1043	6203
72	1055	6174
73	1069	6157
74	1082	6136
75	1095	6113
76	1108	6089
77	1121	6070
78	1134	6044
79	1147	6025
80	1160	6004
81	1171	5973
82	1183	5944
83	1193	5908
84	1201	5865
85	1212	5835
86	1222	5801
87	1238	5800
88	1249	5769
89	1262	5749
90	1274	5726
91	1283	5692
92	1294	5664
93	1305	5638
94	1312	5595
95	1321	5561
96	1331	5533
97	1342	5507
98	1354	5484
99	1364	5456
100	1373	5427
101	1383	5398
102	1396	5381
103	1403	5343
104	1413	5316
105	1423	5292
106	1434	5269
107	1445	5246
108	1455	5222
109	1465	5197
110	1476	5175
111	1486	5151
112	1497	5127
113	1507	5102
114	1517	5078
115	1527	5056
116	1537	5031
117	1547	5008
118	1558	4988
119	1569	4968
120	1578	4945
121	1589	4926
122	1601	4909
123	1610	4883
124	1621	4864
125	1630	4839
126	1641	4821
127	1652	4802
128	1661	4778
129	1672	4759
130	1683	4741
131	1691	4717
132	1701	4696
133	1711	4675
134	1721	4655
135	1731	4633
136	1739	4607
137	1747	4584
138	1758	4568
139	1769	4549
140	1778	4528
141	1787	4507
142	1796	4484
143	1805	4462
144	1814	4443
145	1820	4414
146	1831	4397
147	1838	4371
148	1846	4350
149	1855	4330
150	1862	4304
151	1871	4284
152	1877	4258
153	1887	4241
154	1895	4219
155	1901	4193
156	1911	4175
157	1920	4157
158	1930	4139
159	1938	4119
160	1948	4103
161	1957	4084
162	1966	4066
163	1976	4049
164	1983	4027
165	1993	4011
166	2003	3995
167	2015	3983
168	2026	3969
169	2037	3954
170	2048	3940
171	2056	3921
172	2066	3906
173	2075	3889
174	2085	3872
175	2095	3857
176	2104	3840
177	2114	3824
178	2124	3809
179	2133	3793
180	2144	3779
181	2153	3762
182	2163	3747
183	2174	3733
184	2183	3718
185	2194	3704
186	2203	3688
187	2213	3674
188	2222	3656
189	2231	3641
190	2242	3627
191	2252	3613
192	2262	3599
193	2273	3586
194	2283	3571
195	2293	3557
196	2301	3540
197	2311	3525
198	2321	3510
199	2330	3496
200	2341	3482
201	2350	3467
202	2360	3454
203	2371	3440
204	2381	3427
205	2392	3414
206	2404	3402
207	2414	3389
208	2426	3378
209	2434	3361
210	2443	3346
211	2453	3332
212	2462	3317
213	2474	3307
214	2485	3294
215	2494	3280
216	2504	3265
217	2514	3253
218	2525	3240
219	2537	3229
220	2546	3214
221	2556	3200
222	2568	3191
223	2579	3178
224	2589	3165
225	2599	3151
226	2606	3134
227	2614	3118
228	2625	3106
229	2639	3098
230	2653	3089
231	2667	3081
232	2680	3071
233	2694	3062
234	2708	3054
235	2725	3049
236	2740	3040
237	2756	3034
238	2770	3025
239	2784	3016
240	2803	3013
241	2816	3002
242	2827	2990
243	2835	2975
244	2847	2963
245	2858	2951
246	2869	2939
247	2881	2928
248	2895	2918
249	2903	2903
250	2914	2891
251	2926	2879
252	2937	2867
253	2949	2856
254	2962	2846
255	2973	2834
256	2984	2821
257	2995	2809
258	3011	2802
259	3023	2790
260	3033	2777
261	3047	2767
262	3063	2760
263	3077	2751
264	3089	2740
265	3103	2730
266	3117	2720
267	3129	2709
268	3142	2698
269	3153	2686
270	3164	2673
271	3174	2661
272	3187	2650
273	3199	2638
274	3212	2628
275	3226	2618
276	3238	2607
277	3250	2595
278	3261	2583
279	3274	2573
280	3287	2561
281	3296	2548
282	3306	2535
283	3317	2523
284	3328	2511
285	3339	2498
286	3350	2486
287	3361	2474
288	3373	2462
289	3384	2450
290	3394	2437
291	3406	2426
292	3417	2414
293	3433	2406
294	3444	2393
295	3455	2381
296	3465	2368
297	3474	2355
298	3485	2342
299	3495	2330
300	3506	2318
301	3515	2304
302	3525	2292
303	3536	2279
304	3546	2267
305	3556	2254
306	3568	2243
307	3580	2231
308	3590	2219
309	3601	2207
310	3612	2195
311	3622	2182
312	3630	2169
313	3640	2156
314	3650	2144
315	3661	2132
316	3671	2119
317	3681	2107
318	3691	2094
319	3701	2082
320	3711	2069
321	3724	2058
322	3735	2046
323	3749	2036
324	3760	2024
325	3770	2012
326	3781	2000
327	3790	1987
328	3799	1975
329	3811	1963
330	3823	1952
331	3836	1941
332	3847	1929
333	3857	1917
334	3867	1904
335	3879	1893
336	3892	1882
337	3902	1870
338	3914	1859
339	3925	1847
340	3935	1835
341	3950	1825
342	3961	1813
343	3973	1801
344	3988	1791
345	3998	1779
346	4008	1767
347	4024	1757
348	4037	1746
349	4049	1735
350	4061	1723
351	4074	1712
352	4088	1702
353	4105	1693
354	4116	1681
355	4133	1671
356	4146	1660
357	4157	1648
358	4170	1638
359	4180	1625
360	4193	1614
361	4204	1602
362	4215	1590
363	4225	1578
364	4235	1566
365	4260	1559
366	4274	1549
367	4284	1536
368	4293	1524
369	4305	1512
370	4311	1499
371	4322	1487
372	4331	1474
373	4341	1462
374	4353	1451
375	4367	1440
376	4376	1427
377	4387	1416
378	4398	1404
379	4409	1392
380	4419	1380
381	4429	1368
382	4439	1356
383	4449	1344
384	4459	1332
385	4470	1320
386	4481	1308
387	4491	1296
388	4502	1284
389	4512	1272
390	4522	1260
391	4532	1248
392	4543	1237
393	4554	1225
394	4564	1213
395	4573	1201
396	4584	1189
397	4594	1177
398	4604	1165
399	4613	1153
400	4623	1141
401	4638	1130
402	4648	1118
403	4657	1106
404	4668	1095
405	4678	1083
406	4687	1071
407	4697	1059
408	4706	1047
409	4716	1035
410	4726	1023
411	4736	1011
412	4746	999
413	4758	988
414	4769	976
415	4780	965
416	4791	953
417	4801	941
418	4811	930
419	4821	918
420	4831	906
421	4841	894
422	4848	882
423	4858	870
424	4867	859
425	4878	847
426	4888	835
427	4900	824
428	4912	812
429	4921	801
430	4929	789
431	4939	777
432	4948	765
433	4959	754
434	4968	742
435	4978	730
436	4988	719
437	4997	707
438	5008	695
439	5018	684
440	5028	672
441	5038	661
442	5047	649
443	5058	637
444	5068	626
445	5078	614
446	5087	603
447	5098	591
448	5108	580
449	5119	568
450	5130	557
451	5141	545
452	5152	534
453	5161	523
454	5175	511
455	5186	500
456	5199	489
457	5208	477
458	5219	466
459	5228	454
460	5237	443
461	5249	431
462	5259	420
463	5270	408
464	5280	397
465	5291	386
466	5302	374
467	5312	363
468	5321	351
469	5331	340
470	5340	328
471	5351	317
472	5362	306
473	5369	294
474	5379	283
475	5390	271
476	5402	260
477	5412	249
478	5422	237
479	5433	226
480	5442	214
481	5452	203
482	5462	192
483	5473	180
484	5485	169
485	5495	158
486	5505	146
487	5516	135
488	5526	124
489	5537	113
490	5549	101
491	5560	90
492	5570	79
493	5580	67
494	5589	56
495	5600	45
496	5611	33
497	5621	22
498	5631	11
499	5643	0
