iter	Passed	Remaining
0	9	4688
1	18	4508
2	26	4398
3	35	4448
4	45	4471
5	54	4479
6	63	4471
7	72	4441
8	81	4430
9	90	4415
10	99	4428
11	108	4401
12	117	4401
13	126	4374
14	135	4368
15	143	4351
16	153	4357
17	162	4351
18	170	4327
19	180	4321
20	188	4302
21	197	4295
22	206	4291
23	215	4275
24	223	4247
25	232	4239
26	241	4225
27	249	4212
28	258	4199
29	266	4180
30	275	4169
31	284	4155
32	293	4156
33	302	4140
34	310	4129
35	319	4116
36	328	4106
37	337	4101
38	346	4092
39	354	4073
40	362	4063
41	371	4051
42	380	4045
43	389	4037
44	398	4028
45	407	4018
46	415	4004
47	423	3991
48	433	3988
49	443	3991
50	452	3985
51	461	3973
52	469	3962
53	478	3952
54	487	3941
55	495	3930
56	504	3917
57	512	3908
58	521	3899
59	530	3889
60	539	3881
61	547	3868
62	556	3859
63	565	3851
64	574	3846
65	583	3835
66	592	3832
67	601	3823
68	610	3816
69	619	3806
70	627	3793
71	636	3784
72	645	3775
73	654	3765
74	662	3753
75	671	3746
76	680	3738
77	689	3730
78	697	3717
79	707	3712
80	715	3703
81	725	3697
82	734	3688
83	742	3678
84	752	3672
85	761	3664
86	770	3655
87	778	3643
88	787	3635
89	796	3626
90	805	3620
91	813	3605
92	818	3580
93	826	3571
94	835	3561
95	842	3547
96	852	3542
97	861	3531
98	871	3529
99	879	3518
100	888	3510
101	897	3500
102	905	3490
103	914	3481
104	922	3470
105	930	3459
106	939	3450
107	948	3443
108	957	3433
109	965	3424
110	974	3415
111	984	3409
112	992	3399
113	1001	3389
114	1009	3381
115	1018	3372
116	1026	3361
117	1035	3351
118	1044	3344
119	1052	3333
120	1061	3324
121	1069	3314
122	1078	3304
123	1087	3296
124	1095	3286
125	1103	3276
126	1112	3267
127	1121	3258
128	1130	3250
129	1138	3241
130	1147	3232
131	1156	3223
132	1162	3208
133	1172	3201
134	1181	3194
135	1186	3176
136	1195	3167
137	1204	3159
138	1210	3143
139	1218	3132
140	1227	3125
141	1236	3116
142	1245	3109
143	1251	3095
144	1260	3085
145	1268	3076
146	1277	3067
147	1286	3058
148	1295	3051
149	1303	3042
150	1313	3035
151	1322	3027
152	1330	3017
153	1339	3010
154	1348	3001
155	1357	2993
156	1365	2983
157	1374	2975
158	1382	2965
159	1391	2956
160	1399	2947
161	1407	2937
162	1416	2929
163	1425	2920
164	1433	2911
165	1443	2904
166	1451	2894
167	1460	2886
168	1469	2877
169	1478	2869
170	1485	2859
171	1494	2849
172	1502	2840
173	1511	2832
174	1519	2822
175	1528	2814
176	1537	2806
177	1546	2797
178	1555	2789
179	1563	2779
180	1573	2773
181	1581	2763
182	1590	2755
183	1598	2744
184	1607	2736
185	1615	2726
186	1624	2719
187	1633	2710
188	1641	2701
189	1651	2694
190	1660	2685
191	1669	2677
192	1678	2669
193	1686	2660
194	1695	2652
195	1705	2645
196	1714	2636
197	1724	2629
198	1733	2622
199	1742	2613
200	1751	2605
201	1760	2597
202	1770	2589
203	1778	2580
204	1787	2572
205	1795	2562
206	1804	2553
207	1812	2545
208	1822	2537
209	1830	2528
210	1840	2520
211	1849	2512
212	1858	2504
213	1868	2496
214	1877	2488
215	1886	2479
216	1894	2470
217	1903	2461
218	1912	2453
219	1921	2445
220	1930	2437
221	1939	2428
222	1947	2419
223	1955	2409
224	1963	2400
225	1972	2391
226	1981	2382
227	1990	2374
228	2000	2367
229	2009	2358
230	2018	2350
231	2028	2342
232	2037	2334
233	2046	2325
234	2054	2317
235	2064	2309
236	2072	2300
237	2081	2291
238	2089	2281
239	2098	2273
240	2107	2265
241	2116	2256
242	2125	2248
243	2134	2239
244	2144	2231
245	2153	2223
246	2162	2214
247	2170	2205
248	2178	2196
249	2187	2187
250	2196	2179
251	2204	2169
252	2213	2161
253	2221	2151
254	2230	2143
255	2239	2134
256	2248	2125
257	2257	2117
258	2265	2108
259	2274	2099
260	2283	2090
261	2293	2083
262	2301	2073
263	2310	2065
264	2318	2056
265	2327	2047
266	2336	2039
267	2345	2030
268	2354	2022
269	2363	2013
270	2372	2004
271	2380	1995
272	2389	1986
273	2398	1977
274	2406	1969
275	2415	1960
276	2423	1951
277	2432	1942
278	2442	1934
279	2451	1926
280	2460	1917
281	2469	1908
282	2478	1900
283	2486	1891
284	2495	1882
285	2504	1874
286	2513	1865
287	2522	1856
288	2528	1845
289	2536	1836
290	2544	1827
291	2554	1819
292	2559	1808
293	2568	1799
294	2577	1791
295	2586	1782
296	2594	1773
297	2603	1764
298	2612	1756
299	2621	1747
300	2629	1738
301	2639	1730
302	2647	1721
303	2656	1712
304	2664	1703
305	2673	1695
306	2681	1685
307	2690	1677
308	2699	1668
309	2708	1659
310	2718	1652
311	2727	1643
312	2736	1634
313	2744	1625
314	2753	1617
315	2761	1607
316	2769	1598
317	2777	1589
318	2786	1581
319	2795	1572
320	2804	1563
321	2812	1554
322	2821	1546
323	2831	1537
324	2840	1529
325	2848	1520
326	2857	1511
327	2867	1503
328	2875	1494
329	2884	1486
330	2893	1477
331	2902	1468
332	2911	1460
333	2920	1451
334	2929	1443
335	2938	1434
336	2948	1425
