Code,Type,Description,Count
11,Past,Patches of shallow fog or ice fog,75
62,Past,"Rain showers, moderate or heavy",11
65,Past,"Continuous rain, moderate or heavy",19
66,Past,Continuous rain mixed with snow or ice pellets,1
81,Past,"Rain showers, violent",6
82,Past,Thunderstorm with rain,7
1,Present,Clouds generally dissolving or becoming less developed,2
2,Present,State of sky on the whole unchanged,77
21,Present,"Rain (not freezing), not falling as showers",6
25,Present,Showers of rain,7
58,Present,"Drizzle, freezing or mixed with snow",15
61,Present,Light rain,1
80,Present,"Rain showers, slight",5
